Sl.No,Acc_Type,Account number,Amount,Period,Rate of interest,Maturity Date,Installment Amount
,,,,,,,
1,LN,1001000002,23850,12,0.5,12/3/2023,2000
2,LN,1001000003,1000000,10,1.5,25/08/2022,100000
3,LN,1001000004,50000,25,1.25,15/12/2023,5000
4,LN,1001000005,52000,10,0.5,11/12/2022,5200
5,LN,1001000006,400000,20,1.25,8/5/2024,20000
6,LN,1001000008,100000,10,1,25/07/2022,10000
7,LN,1001000011,250000,22,1.52,15/03/2024,11600
8,LN,1001000012,74000,14,1.25,15/11/2022,5300
9,LN,1001000015,40000,3,0.25,8/12/2021,12000
10,LN,1001000021,120000,15,1.3,15/03/2023,8000
11,LN,1001000022,120000,12,1.25,21/07/2023,10000
12,LN,1001000024,62500,10,0.25,25/01/2023,6250
13,LN,1001000026,50000,4,0.5,7/12/2023,12500
14,LN,1001000031,25000,8,1.52,5/2/2023,3215
15,LN,1001000033,75000,8,0.8,7/12/2022,9375
16,LN,1001000036,150000,18,1.25,23/06/2023,8333
17,LN,1001000041,85000,6,0.5,6/1/2022,12000
18,LN,1001000044,62500,4,0.25,3/4/2022,15625
19,LN,1001000052,10000,2,0.25,15/08/2021,5000
20,LN,1420065472,254000,7,1,11/2/2022,36500
