Sl.No,Acc_Type,Account number,Amount,Period,Rate of interest,Maturity Date,Installment Amount
,,,,,,,
1,RD,1001000001,50000,36,7.75,15/12/2026,5000
2,RD,1001000003,20000,24,7.25,11/6/2026,2000
3,RD,1001000007,25000,25,7.25,12/2/2025,5000
4,RD,1001000013,12000,20,6.25,25/11/2025,1200
5,RD,1001000017,24000,15,6.25,5/7/2025,1200
6,RD,1001000019,40000,18,6.25,7/2/2026,4000
7,RD,1001000023,10000,20,7.25,17/01/2026,2500
8,RD,1001000029,80000,26,7.25,10/8/2026,4000
9,RD,1001000034,10000,30,6.25,23/04/2026,1000
10,RD,1001000037,26000,25,6.25,16/12/2024,2600
11,RD,1001000042,24000,20,7.25,14/07/2026,1200
12,RD,1001000044,12000,22,7.25,25/09/2025,6250
13,RD,1001000047,50000,24,7.25,1/7/2025,2500
14,RD,1001000051,60000,26,7.25,9/5/2026,3000
15,RD,1001000052,70000,18,6.25,11/8/2026,700
16,RD,1001000055,15000,12,6.25,7/7/2026,1500
17,RD,1001000057,12000,15,6.25,8/11/2024,400
18,RD,1001000060,22000,28,7.25,22/02/2025,1100
19,RD,1001000061,25000,18,6.25,22/08/2026,2500
20,RD,1001000067,150000,24,7.25,12/6/2025,15000
